url,code,title,corrected_version,Publication date,Status,Edition,Number of pages,price_CF
https://www.iso.org/standard/67630.html,ISO 1:2016,Geometrical product specifications (GPS) — Standard reference temperature for the specification of geometrical and dimensional properties,n.a,2016-09,Published,3,4,38
https://www.iso.org/standard/42802.html,ISO 463:2006,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges,n.a,2006-03,Published,1,14,88
https://www.iso.org/standard/46107.html,ISO 463:2006/Cor 1:2007,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 1,n.a,2007-06,Published,1,1,0
https://www.iso.org/standard/52987.html,ISO 463:2006/Cor 2:2009,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 2,n.a,2009-01,Published,1,2,0
https://www.iso.org/standard/4496.html,ISO 468:1982,"Surface roughness — Parameters, their values and general rules for specifying requirements",n.a,1982-08,Withdrawn,1,3,0
https://www.iso.org/standard/6555.html,ISO 1879:1981,Instruments for the measurement of surface roughness by the profile method — Vocabulary,n.a,1981-12,Withdrawn,2,1,0
https://www.iso.org/standard/6556.html,ISO 1880:1979,Instruments for the measurement of surface roughness by the profile method — Contact (stylus) instruments of progressive profile transformation — Profile recording instruments,n.a,1979-11,Withdrawn,2,4,0
https://www.iso.org/standard/54836.html,ISO 2538-1:2014,Geometrical product specifications (GPS) — Wedges — Part 1: Series of angles and slopes,n.a,2014-09,Published,1,8,58
https://www.iso.org/standard/56783.html,ISO 2538-2:2014,Geometrical product specifications (GPS) — Wedges — Part 2: Dimensioning and tolerancing,n.a,2014-09,Published,1,12,58
https://www.iso.org/standard/45454.html,ISO 3611:2010,Geometrical product specifications (GPS) — Dimensional measuring equipment: Micrometers for external measurements — Design and metrological characteristics,n.a,2010-11,Published,2,18,88
https://www.iso.org/standard/77951.html,ISO/CD 3611,Geometrical product specifications (GPS) — Dimensional measuring equipment: Micrometers for external measurements — Design and metrological characteristics,n.a,n.a,Under development,3,0
https://www.iso.org/standard/1241.html,ISO 3650:1998,Geometrical Product Specifications (GPS) — Length standards — Gauge blocks,n.a,1998-12,Published,2,15,88
https://www.iso.org/standard/52660.html,ISO 3650:1998/Cor 1:2008,Geometrical Product Specifications (GPS) — Length standards — Gauge blocks — Technical Corrigendum 1,n.a,2008-10,Published,2,0
https://www.iso.org/standard/10132.html,ISO 4287:1997,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters",n.a,1997-04,Published,1,25,118
https://www.iso.org/standard/44475.html,ISO 4287:1997/Amd 1:2009,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Amendment 1: Peak count number",n.a,2009-06,Published,1,1,16
https://www.iso.org/standard/29874.html,ISO 4287:1997/Cor 1:1998,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Technical Corrigendum 1",n.a,1998-05,Published,1,2,0
https://www.iso.org/standard/41861.html,ISO 4287:1997/Cor 2:2005,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Technical Corrigendum 2",n.a,2002-02,Published,1,2,0
https://www.iso.org/standard/2096.html,ISO 4288:1996,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Rules and procedures for the assessment of surface texture,n.a,1996-08,Published,2,8,58
https://www.iso.org/standard/29875.html,ISO 4288:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Rules and procedures for the assessment of surface texture — Technical Corrigendum 1,n.a,1998-06,Published,2,1,0
https://www.iso.org/standard/10135.html,ISO 4291:1985,Methods for the assessement of departure from roundness — Measurement of variations in radius,n.a,1985-09,Published,1,18,88
https://www.iso.org/standard/10136.html,ISO 4292:1985,Methods for the assessment of departure from roundness — Measurement by two- and three-point methods,n.a,1985-07,Withdrawn,1,8,0
https://www.iso.org/standard/21978.html,ISO 5436-1:2000,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 1: Material measures,n.a,2000-03,Published,1,14,88
https://www.iso.org/standard/28088.html,ISO 5436-2:2001,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 2: Software measurement standards,n.a,2001-12,Withdrawn,1,15,0
https://www.iso.org/standard/45308.html,ISO 5436-2:2001/Cor 1:2006,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 2: Software measurement standards — Technical Corrigendum 1,n.a,2006-12,Withdrawn,1,1,0
https://www.iso.org/standard/51387.html,ISO 5436-2:2001/Cor 2:2008,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 2: Software measurement standards — Technical Corrigendum 2,n.a,2008-05,Withdrawn,1,2,0
https://www.iso.org/standard/61261.html,ISO 5436-2:2012,Geometrical product specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 2: Software measurement standards,n.a,2012-10,Published,2,17,88
https://www.iso.org/standard/16210.html,ISO 8785:1998,"Geometrical Product Specification (GPS) — Surface imperfections — Terms, definitions and parameters",n.a,1998-07,Published,1,20,118
https://www.iso.org/standard/18663.html,ISO 10579:1993,Technical drawings — Dimensioning and tolerancing — Non-rigid parts,n.a,1993-01,Withdrawn,1,3,0
https://www.iso.org/standard/54707.html,ISO 10579:2010,Geometrical product specifications (GPS) — Dimensioning and tolerancing — Non-rigid parts,n.a,2010-03,Published,2,6,38
https://www.iso.org/standard/60818.html,ISO 10579:2010/Cor 1:2011,Geometrical product specifications (GPS) — Dimensioning and tolerancing — Non-rigid parts — Technical Corrigendum 1,n.a,2011-11,Published,2,0
https://www.iso.org/standard/21977.html,ISO 11562:1996,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Metrological characteristics of phase correct filters,n.a,1996-12,Withdrawn,1,8,0
https://www.iso.org/standard/29876.html,ISO 11562:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Metrological characteristics of phase correct filters — Technical Corrigendum 1,n.a,1998-06,Withdrawn,1,1,0
https://www.iso.org/standard/20867.html,ISO 12085:1996,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Motif parameters,n.a,1996-08,Published,1,17,88
https://www.iso.org/standard/29877.html,ISO 12085:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Motif parameters — Technical Corrigendum 1,n.a,1998-06,Published,1,1,0
https://www.iso.org/standard/21119.html,ISO 12179:2000,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Calibration of contact (stylus) instruments,n.a,2000-03,Published,1,17,88
https://www.iso.org/standard/39419.html,ISO 12179:2000/Cor 1:2003,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Calibration of contact (stylus) instruments — Technical Corrigendum 1,n.a,2003-12,Published,1,1,0
https://www.iso.org/standard/72758.html,ISO/CD 12179,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Calibration of contact (stylus) instruments,n.a,n.a,Under development,2,0
https://www.iso.org/standard/53622.html,ISO 12780-1:2011,Geometrical product specifications (GPS) — Straightness — Part 1: Vocabulary and parameters of straightness,n.a,2011-04,Published,1,11,58
https://www.iso.org/standard/53623.html,ISO 12780-2:2011,Geometrical product specifications (GPS) — Straightness — Part 2: Specification operators,n.a,2011-04,Published,1,8,58
https://www.iso.org/standard/38729.html,ISO/TS 12780-1:2003,Geometrical Product Specifications (GPS) — Straightness — Part 1: Vocabulary and parameters of straightness,n.a,2003-12,Withdrawn,1,11,0
https://www.iso.org/standard/38730.html,ISO/TS 12780-2:2003,Geometrical Product Specifications (GPS) — Straightness — Part 2: Specification operators,n.a,2003-12,Withdrawn,1,8,0
https://www.iso.org/standard/56223.html,ISO/TS 12780-2:2003/Cor 1:2010 [unknown],Geometrical Product Specifications (GPS) — Straightness — Part 2: Specification operators — Technical Corrigendum 1,n.a,2010-04,Withdrawn,1,0
https://www.iso.org/standard/53624.html,ISO 12781-1:2011,Geometrical product specifications (GPS) — Flatness — Part 1: Vocabulary and parameters of flatness,n.a,2011-04,Published,1,11,58
https://www.iso.org/standard/53625.html,ISO 12781-2:2011,Geometrical product specifications (GPS) — Flatness — Part 2: Specification operators,n.a,2011-04,Published,1,13,88
https://www.iso.org/standard/38731.html,ISO/TS 12781-1:2003,Geometrical Product Specifications (GPS) — Flatness — Part 1: Vocabulary and parameters of flatness,n.a,2003-12,Withdrawn,1,12,0
https://www.iso.org/standard/38732.html,ISO/TS 12781-2:2003,Geometrical Product Specifications (GPS) — Flatness — Part 2: Specification operators,n.a,2003-12,Withdrawn,1,13,0
https://www.iso.org/standard/56227.html,ISO/TS 12781-2:2003/Cor 1:2010 [unknown],Geometrical Product Specifications (GPS) — Flatness — Part 2: Specification operators — Technical Corrigendum 1,n.a,2010-04,Withdrawn,1,0
https://www.iso.org/standard/42893.html,ISO 13225:2012,Geometrical product specifications (GPS) — Dimensional measuring equipment; Height gauges — Design and metrological characteristics,n.a,2012-05,Published,1,23,118
https://www.iso.org/standard/29878.html,ISO 13565-1:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Surfaces having stratified functional properties — Part 1: Filtering and general measurement conditions — Technical Corrigendum 1,n.a,1998-06,Published,1,1,0
https://www.iso.org/standard/22280.html,ISO 13565-2:1996,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Surfaces having stratified functional properties — Part 2: Height characterization using the linear material ratio curve,n.a,1996-12,Published,1,6,38
https://www.iso.org/standard/29879.html,ISO 13565-2:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Surfaces having stratified functional properties — Part 2: Height characterization using the linear material ratio curve — Technical Corrigendum 1,n.a,1998-06,Published,1,1,0
https://www.iso.org/standard/26280.html,ISO 13565-3:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Surfaces having stratified functional properties — Part 3: Height characterization using the material probability curve,n.a,1998-12,Published,1,20,118
https://www.iso.org/standard/50992.html,ISO 14978:2006/Cor 1:2008,Geometrical product specifications (GPS) — General concepts and requirements for GPS measuring equipment — Technical Corrigendum 1,n.a,2008-02,Withdrawn,1,1,0
https://www.iso.org/standard/71148.html,ISO 14978:2018,Geometrical product specifications (GPS) — General concepts and requirements for GPS measuring equipment,n.a,2018-11,Published,2,43,158
https://www.iso.org/standard/61375.html,ISO 16610-1:2015,Geometrical product specifications (GPS) — Filtration — Part 1: Overview and basic concepts,n.a,2015-04,Published,1,25,118
https://www.iso.org/standard/61376.html,ISO 16610-20:2015,Geometrical product specifications (GPS) — Filtration — Part 20: Linear profile filters: Basic concepts,n.a,2015-04,Published,1,15,88
https://www.iso.org/standard/50176.html,ISO 16610-21:2011,Geometrical product specifications (GPS) — Filtration — Part 21: Linear profile filters: Gaussian filters,n.a,2011-06,Published,1,23,118
https://www.iso.org/standard/61377.html,ISO 16610-22:2015,Geometrical product specifications (GPS) — Filtration — Part 22: Linear profile filters: Spline filters,n.a,2015-07,Published,1,18,88
https://www.iso.org/standard/66241.html,ISO 16610-28:2016,Geometrical product specifications (GPS) — Filtration — Part 28: Profile filters: End effects,n.a,2016-12,Published,1,20,118
https://www.iso.org/standard/61378.html,ISO 16610-29:2015,Geometrical product specifications (GPS) — Filtration — Part 29: Linear profile filters: Spline wavelets,n.a,2015-05,Published,1,18,88
https://www.iso.org/standard/62881.html,ISO 16610-30:2015,Geometrical product specifications (GPS) — Filtration — Part 30: Robust profile filters: Basic concepts,n.a,2015-10,Published,1,14,88
https://www.iso.org/standard/66242.html,ISO 16610-31:2016,Geometrical product specifications (GPS) — Filtration — Part 31: Robust profile filters: Gaussian regression filters,n.a,2016-11,Published,1,12,58
https://www.iso.org/standard/61379.html,ISO 16610-40:2015,Geometrical product specifications (GPS) — Filtration — Part 40: Morphological profile filters: Basic concepts,n.a,n.a,Published,1,16,88
https://www.iso.org/standard/61380.html,ISO 16610-41:2015,Geometrical product specifications (GPS) — Filtration — Part 41: Morphological profile filters: Disk and horizontal line-segment filters,n.a,2015-06,Published,1,14,88
https://www.iso.org/standard/61381.html,ISO 16610-49:2015,Geometrical product specifications (GPS) — Filtration — Part 49: Morphological profile filters: Scale space techniques,n.a,2015-06,Published,1,17,88
https://www.iso.org/standard/60812.html,ISO 16610-60:2015,Geometrical product specification (GPS) — Filtration — Part 60: Linear areal filters — Basic concepts,n.a,2015-10,Published,1,16,88
https://www.iso.org/standard/60813.html,ISO 16610-61:2015,Geometrical product specification (GPS) — Filtration — Part 61: Linear areal filters — Gaussian filters,n.a,2015-07,Published,1,18,88
https://www.iso.org/standard/75552.html,ISO 16610-61:2015/FDAmd 1,Geometrical product specification (GPS) — Filtration — Part 61: Linear areal filters — Gaussian filters — Amendment 1,n.a,n.a,Under development,1,0
https://www.iso.org/standard/60159.html,ISO 16610-71:2014,Geometrical product specifications (GPS) — Filtration — Part 71: Robust areal filters: Gaussian regression filters,n.a,2014-09,Published,1,20,118
https://www.iso.org/standard/60158.html,ISO 16610-85:2013,Geometrical product specifications (GPS) — Filtration — Part 85: Morphological areal filters: Segmentation,n.a,2013-02,Published,1,26,118
https://www.iso.org/standard/78496.html,ISO/AWI 16610-45 [Unknown reference for 00290242],Geometrical product specifications (GPS) — Filtration — Part 45: Part 45: Profile Morphological: Segmentation,n.a,n.a,Under development,1,0
https://www.iso.org/standard/70140.html,ISO/DIS 16610-29,Geometrical product specifications (GPS) — Filtration — Part 29: Linear profile filters: wavelets,n.a,n.a,Under development,2,20,58
https://www.iso.org/standard/42968.html,ISO/TS 16610-1:2006,Geometrical product specifications (GPS) — Filtration — Part 1: Overview and basic concepts,n.a,2006-11,Withdrawn,1,23,0
https://www.iso.org/standard/42969.html,ISO/TS 16610-20:2006,Geometrical product specifications (GPS) — Filtration — Part 20: Linear profile filters: Basic concepts,n.a,2006-11,Withdrawn,1,13,0
https://www.iso.org/standard/42970.html,ISO/TS 16610-22:2006,Geometrical product specifications (GPS) — Filtration — Part 22: Linear profile filters: Spline filters,n.a,2006-11,Withdrawn,1,15,0
https://www.iso.org/standard/50123.html,ISO/TS 16610-28:2010,Geometrical product specifications (GPS) — Filtration — Part 28: Profile filters: End effects,n.a,2010-08,Withdrawn,1,18,0
https://www.iso.org/standard/42971.html,ISO/TS 16610-29:2006,Geometrical product specifications (GPS) — Filtration — Part 29: Linear profile filters: Spline wavelets,n.a,2006-11,Withdrawn,1,17,0
https://www.iso.org/standard/50177.html,ISO/TS 16610-30:2009,Geometrical product specifications (GPS) — Filtration — Part 30: Robust profile filters: Basic concepts,n.a,2009-03,Withdrawn,1,14,0
https://www.iso.org/standard/42972.html,ISO/TS 16610-31:2010,Geometrical product specifications (GPS) — Filtration — Part 31: Robust profile filters: Gaussian regression filters,n.a,2010-08,Withdrawn,1,12,0
https://www.iso.org/standard/42973.html,ISO/TS 16610-32:2009,Geometrical product specifications (GPS) — Filtration — Part 32: Robust profile filters: Spline filters,n.a,2009-03,Published,1,10,58
https://www.iso.org/standard/42974.html,ISO/TS 16610-40:2006,Geometrical product specifications (GPS) — Filtration — Part 40: Morphological profile filters: Basic concepts,n.a,2006-11,Withdrawn,1,16,0
https://www.iso.org/standard/42975.html,ISO/TS 16610-41:2006,Geometrical product specifications (GPS) — Filtration — Part 41: Morphological profile filters: Disk and horizontal line-segment filters,n.a,2006-11,Withdrawn,1,14,0
https://www.iso.org/standard/42976.html,ISO/TS 16610-49:2006,Geometrical product specifications (GPS) — Filtration — Part 49: Morphological profile filters: Scale space techniques,n.a,2006-11,Withdrawn,1,17,0
https://www.iso.org/standard/53629.html,ISO 17450-2:2012,"Geometrical product specifications (GPS) — General concepts — Part 2: Basic tenets, specifications, operators, uncertainties and ambiguities",n.a,2012-10,Published,1,18,88
https://www.iso.org/standard/30671.html,ISO/TS 17450-1:2005,Geometrical product specifications (GPS) — General concepts — Part 1: Model for geometrical specification and verification,n.a,2005-02,Withdrawn,1,49,0
https://www.iso.org/standard/67205.html,ISO 20170:2019,Geometrical product specifications (GPS) — Decomposition of geometrical characteristics for manufacturing control,n.a,2019-04,Published,1,20,118
https://www.iso.org/standard/46065.html,ISO 25178-1:2016,Geometrical product specifications (GPS) — Surface texture: Areal — Part 1: Indication of surface texture,n.a,2016-04,Published,1,25,118
https://www.iso.org/standard/42785.html,ISO 25178-2:2012,"Geometrical product specifications (GPS) — Surface texture: Areal — Part 2: Terms, definitions and surface texture parameters",n.a,2012-04,Published,1,47,158
https://www.iso.org/standard/42895.html,ISO 25178-3:2012,Geometrical product specifications (GPS) — Surface texture: Areal — Part 3: Specification operators,n.a,2012-07,Published,1,18,88
https://www.iso.org/standard/67651.html,ISO 25178-600:2019,Geometrical product specifications (GPS) — Surface texture: Areal — Part 600: Metrological characteristics for areal topography measuring methods,n.a,2019-02,Published,1,21,118
https://www.iso.org/standard/42786.html,ISO 25178-601:2010,Geometrical product specifications (GPS) — Surface texture: Areal — Part 601: Nominal characteristics of contact (stylus) instruments,n.a,2010-07,Published,1,17,88
https://www.iso.org/standard/43920.html,ISO 25178-602:2010,Geometrical product specifications (GPS) — Surface texture: Areal — Part 602: Nominal characteristics of non-contact (confocal chromatic probe) instruments,n.a,2010-07,Published,1,31,138
https://www.iso.org/standard/61236.html,ISO 25178-603:2013,Geometrical product specifications (GPS) — Surface texture: Areal — Part 603: Nominal characteristics of non-contact (phase-shifting interferometric microscopy) instruments,n.a,2013-10,Published,1,28,138
https://www.iso.org/standard/51381.html,ISO 25178-604:2013,Geometrical product specifications (GPS) — Surface texture: Areal — Part 604: Nominal characteristics of non-contact (coherence scanning interferometry) instruments,n.a,2013-08,Published,1,41,158
https://www.iso.org/standard/53975.html,ISO 25178-605:2014,Geometrical product specifications (GPS) — Surface texture: Areal — Part 605: Nominal characteristics of non-contact (point autofocus probe) instruments,n.a,2014-02,Published,1,31,138
https://www.iso.org/standard/59716.html,ISO 25178-606:2015,Geometrical product specification (GPS) — Surface texture: Areal — Part 606: Nominal characteristics of non-contact (focus variation) instruments,n.a,2015-06,Published,1,27,138
https://www.iso.org/standard/67652.html,ISO 25178-607:2019,Geometrical product specifications (GPS) — Surface texture: Areal — Part 607: Nominal characteristics of non-contact (confocal microscopy) instruments,n.a,2019-03,Published,1,21,118
https://www.iso.org/standard/42896.html,ISO 25178-6:2010,Geometrical product specifications (GPS) — Surface texture: Areal — Part 6: Classification of methods for measuring surface texture,n.a,2010-02,Published,1,11,58
https://www.iso.org/standard/44474.html,ISO 25178-701:2010,Geometrical product specifications (GPS) — Surface texture: Areal — Part 701: Calibration and measurement standards for contact (stylus) instruments,n.a,2010-07,Published,1,25,118
https://www.iso.org/standard/57688.html,ISO 25178-70:2014,Geometrical product specification (GPS) — Surface texture: Areal — Part 70: Material measures,n.a,2014-02,Published,1,34,138
https://www.iso.org/standard/56784.html,ISO 25178-71:2012,Geometrical product specifications (GPS) — Surface texture: Areal — Part 71: Software measurement standards,n.a,2012-12,Withdrawn,1,12,0
https://www.iso.org/standard/65558.html,ISO 25178-71:2017,Geometrical product specifications (GPS) — Surface texture: Areal — Part 71: Software measurement standards,n.a,2017-08,Published,2,11,58
https://www.iso.org/standard/62310.html,ISO 25178-72:2017,Geometrical product specifications (GPS) — Surface texture: Areal — Part 72: XML file format x3p,n.a,2017-05,Published,1,23,118
https://www.iso.org/standard/78432.html,ISO 25178-72:2017/DAmd 1,Geometrical product specifications (GPS) — Surface texture: Areal — Part 72: XML file format x3p — Amendment 1,n.a,n.a,Under development,1,8,16
https://www.iso.org/standard/67653.html,ISO 25178-73:2019,Geometrical product specifications (GPS) — Surface texture: Areal — Part 73: Terms and definitions for surface defects on material measures,n.a,2019-05,Published,1,7,58
https://www.iso.org/standard/78204.html,ISO/CD 25178-700,"Geometrical product specifications (GPS) — Surface texture: Areal — Part 700: Calibration, adjustment and verification of areal topography measuring instruments",n.a,n.a,Under development,1,0
https://www.iso.org/standard/77156.html,ISO/CD 25178-72,Geometrical product specifications (GPS) — Surface texture: Areal — Part 72: XML file format x3p,n.a,n.a,Deleted,2,0
https://www.iso.org/standard/74591.html,ISO/DIS 25178-2,"Geometrical product specifications (GPS) — Surface texture: Areal — Part 2: Terms, definitions and surface texture parameters",n.a,n.a,Under development,2,0
https://www.iso.org/standard/42897.html,ISO 25378:2011,Geometrical product specifications (GPS) — Characteristics and conditions — Definitions,n.a,2011-04,Published,1,58,178
